sentence	label
really , save your disgust and your indifference 	0
five screenwriters are credited with the cliché-laden screenplay 	0
joyous 	1
gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing . 	0
then blood work is for you . 	1
, frida gets the job done . 	1
the class warfare 	0
against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting 	1
a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years 	0
may rate as the most magical and most fun family fare of this or any recent holiday season 	1
their contrast is neither dramatic nor comic -- it 's just a weird fizzle . 	0
lacks in eye-popping visuals 	0
ability to pull together easily accessible stories that resonate with profundity 	1
an equally miserable film 	0
its heartfelt concern about north korea 's recent past and south korea 's future 	1
so pat it makes your teeth hurt 	0
a delightful entree in the tradition of food movies . 	1
splash 	1
of gags that rely on the strength of their own cleverness 	1
both the scenic splendor 	1
i saw it as a young boy 	1
wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : 	0
you may be captivated , as i was , by its moods , and by its subtly transformed star , and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear . 	1
a chilling tale of one of the great crimes 	1
starts out 	1
the situation in a well-balanced fashion 	1
which was shot two years ago 	1
becomes something about how lame it is to try and evade your responsibilities 	0
will keep coming 	1
you 'd be hard put to find a movie character more unattractive or odorous ( than leon ) . 	0
proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . 	1
where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable . 	0
a total lack 	0
a hallmark film in an increasingly important film industry and worth the look 	1
the company 's astonishing growth 	1
of afghan tragedies 	0
languorous slo-mo sequences 	0
's characteristically startling visual style and an almost palpable sense of intensity . 	1
is a masterpiece of elegant wit and artifice . 	1
offers a guilt-free trip into feel-good territory . 	1
picture-perfect life 	1
master class . 	1
junior-high 	1
finds amusing juxtapositions that justify his exercise . 	1
rigid and evasive in ways 	0
billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse . 	0
a fine-looking film with a bouncy score 	1
promisingly 	1
the entire movie is in need of a scented bath . 	0
weirdo actor crispin glover 	0
takes its title all too literally . 	0
is loopy and ludicrous ... 	0
threatens 	0
there , done that 	1
who 's finally been given a part worthy of her considerable talents 	1
what makes the movie special 	1
the action looks fake 	0
blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood 's dirty harry period . 	0
maintaining consciousness just long enough 	0
difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting 	0
is so fascinating that you wo n't care . 	1
watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown . 	1
does justice both to stevenson and to the sci-fi genre 	1
a better movie 	1
monotone 	0
faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance 	0
's always enthralling . 	1
, another gross-out college comedy -- ugh . 	0
affirms 	1
gets added disdain for the fact that it is nearly impossible to look at or understand . 	0
formuliac , but fun . 	1
a quietly moving look back at what it was to be iranian-american in 1979 . 	1
to hit theaters since beauty and the beast 11 years ago 	1
well-done 	1
fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew 	1
dialogue and likeable characters 	1
part biography , part entertainment and part history 	1
, the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . 	0
a rather dull , unimaginative car chase 	0
is nothing short of a great one . 	1
a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life 	1
is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater 	0
90-plus years taking the effort to share his impressions of life and loss and time and art with us 	1
confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation 	0
comedy ensemble 	1
throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! 	0
brilliant movie 	1
too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience 	0
's stuffy and pretentious 	0
polished , 	1
works more often than it does n't . 	1
at least passably 	1
i also believe that resident evil is not it . 	0
seem to be in a contest to see who can out-bad-act the other 	0
showing off his doctorate 	1
a delightful comedy 	1
anguish , anger and frustration 	0
at achieving the modest , crowd-pleasing goals it sets for itself 	1
a patient viewer 	1
this new jangle of noise , mayhem and stupidity must be a serious contender for the title . 	0
